,Skills
108,"['(M.S. Dos ', ' Windows)', ' M.S. Office-(', '(M.s. Word,', ' M.s. Excel,', ' M.s. Power Point)', ' Fundamental Account ', ' Computerize Accounting Software ', '(Tally 9.0 ']"
109,"['Windows-98, ', 'XP, ', 'Vista, ', 'Windows-7, ', 'S-Office Su', 'ally (D']"
110,[]
111,"['roubleshooting in', 'ectrical Circuits  \uf0a7 ', 'rcuit Breakers  \uf0a7 ', 'duction Motors  \uf0a7 ', 'tor Starters  Te', 'ADD – A', 'toCAD  \uf0a7 ', 'art sheet application, Bo', 'x application   \uf0a7', 'crosoft office 200', 'en office   \uf0a7', 'wer point   &', 'oto Shop    ']"
112,"['mistake proofing) ', 'SAP software  ', '7 QC  ']"
113,"[' Window 07-10,', ' Ubuntu ', ' HTML,', ' CSS,', ' JS,', ' Jquery ', ',Angularjs ', ' PHP. ', ' MYSQL,', ',MongoDB,', ',IndexedDB ', ' Websql. ', ' Codeigniter,', ',Laravel. ', ' Wordpress,', ',Opencart. ', ' Web development ', ' Application development. ']"
114,"['uto Cad, R']"
115,[' MS Office ']
116,"[' Dac Easy ', ' MS office. ', ' Finance (SAP Based) ', ' Visual Enterprise (ERP Based) ', ' Peachtree ', ' Tally ERP-09 ']"
117,"['MS office A', 'Autocad 2']"
118,"['Auto CAD (', 'Microsoft Office Word, ', 'Microsoft Office Excel, ', 'Microsoft Office Power Point  ']"
119,"['Windows XP, ', 'Windows 7, ', 'Windows 8 a', 'MS office E']"
120,[]
121,"['ally – ', 'icrosoft Office – ', 'S Excel, M', 'S Word & ', 'S  Power Point   ']"
122,"['ndows XP / W', 'N 7,8    ', '-Office (Ex', 'cel, Mi', 'cro soft Power Point)   ']"
123,[]
124,"[' Troubleshooting Windows ', ' Directory\\Linux Server problems. ', ' Installation and Operating windows,macintosh and linux ', 'mail support t', 'Server security monitoring a', 'Network share creation, ', 'Corrdinating with vendor f', 'Support for First Level of Messaging a', 'Managing User profiles, ']"
125,"['DOCUMENTATION,R', 'ETAP(LOAD FLOW &SHORT CIRCUIT ANALYSIS)  ', 'MS OFFICE  ']"
126,[' Microsoft Office ']
127,"[' Communication skills ', ' Customer service ', ' Business development ']"
128,"[' Digital marketing ', ' Google Analytics ', ' Google AdWords ', ' Marketing ', ' SEO ', ' Wordpress ', ' Content Writing ', ' Business Development ', ' Entrpreneurship ', ' Business Management ']"
129,"[' Digital marketing ', ' Google Analytics ', ' Google AdWords ', ' Marketing ', ' SEO ', ' Wordpress ', ' Content Writing ', ' Business Development ', ' Entrpreneurship ', ' Business Management ']"
130,"[' Sales ', ' Marketing ', ' Communication skills ', ' Computer skills ', ' Customer service ']"
131,"[' Good Communication\xa0', ' Positive attitude ', ' Sales ', ' Marketing ', ' Communication skills ', ' Business development    Languages  ']"
132,"[' SEO ', ' SEM ', ' Digital marketing ', ' Google Analytics    Languages ', ' Keyword Research,', ' Google AdWords,', ' Seo Tools ', ' Search Engine Marketing ', ' Social Media  Marketing ']"
133,"[' Angular 8/9,', ' HTML5,', ' Javascript,', ' CSS3,', ' Node,', ' Node JS ', ' HTML/ HTML5,', ' CSS3 ', ' JavaScript ', ' Node JS. ', 'Node JS f', 'modeling, ', 'architecture design, ', 'HTML/ HTML5, ', 'CSS3 a', 'JavaScript c', 'Node JS R', 'ReactJS  ', 'XML  ', 'HTML5  ', 'JavaScript  ']"
134,"[' Sales and marketing ', ' Sales ', ' Marketing ', ' Communication skills ', ' Customer service ', ' Business development ']"
135,[' MS OFFICE ']
136,[]
137,"['Microsoft office xp, ', 'Microsoft office 2000, ', 'Microsoft office xp, ', 'Microsoft office 2000, ', 'MS Word, ', 'S Word, ', 'MS S AcceAccess,s', 'MMS Excel, ', 'Internet Explorer, ', 'Outlook, ', 'Excel, ', 'Internet Explorer, ', 'Outlook, ', 'Oracle Software-E  ', 'Oracle Software-ERRPP&&']"
138,"[' Electronic Data ', ' installations ', ' Microsoft Office Program:', ' using and installing software on ', ' troubleshooting ', ' MS Word:', 'PowerPoint presentations: ', 'Excel Spreadsheets: ', 'Outlook: ', 'Computer Applications  ', 'Computer Application &', 'AUTOCAD &', '3D MAX  ', 'AutoCAD &', '3d Max  ']"
139,"['hardware, ', 'operating systems, ', 'application programming.  ', 'Windows XP, ', '2000.Window-7, ', 'Microsoft word a', 'Microsoft office Excel.  ']"
140,[]
141,"['AC/ DC machines and transformers, ', 'Switch gear and     protection system, ', 'Panel designing, ', 'Electrical Equipment C', 'Transformer testing &', 'Panel Designing.  ', 'AutoCAD Designing  ', 'MS Office  ']"
142,"[' Business development ', ' Communication skills ', ' Computer skills ', ' Customer service ', ' Marketing ', ' Microsoft Excel ', ' Negotiation ', ' Sales ']"
143,"[' SQL ', ' DAX,', ' MS Office ']"
